"F1 2020 Telemetry of Spa - Mercedes - Time Trial - WET 0","2020-09-27 20:00:43",120.636,10,2,"v5"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FrontTyrePressure, RearTyrePressure,Ballast,FuelLoad
2.0,7.0,50.0,0.0,-2.700000047683716,10.0,0.05000000074505806,0.20000000298023224,1.0,5.0,4.0,1.0,4.0,5.0,97.0,52.0,21.0,19.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp
10,7003.0,12,0,5,8,2,20,10.0,9,13000.0,4300.0,false, 23.0, 20.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch
0.9165039,7004.502,0.0,0.0,0.0,224.25055,10324.0,100.0,0.0,-0.79499483,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-325.665,-7.534807,-730.6793,0.23742534,0.9033887,0.026314534,226.43414,226.46353,224.22902,224.45364,23.0,23.0,23.0,23.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.01632238,0.01795399,0.0071638185,0.008348328,8.767069,26.541077,0.33426303,6.45506,709.15576,795.6194,-1045.6143,125.68554,0.0,0.0,0.0,3.0,3.0,-2.5563793,0.0208472,0.031517744
5.095703,7008.681,0.06673248,0.0,0.0,226.34468,10416.0,100.0,0.0,-0.79499483,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-327.97253,-7.4364977,-734.16095,0.23244329,0.8702131,0.04857599,228.44336,228.51155,226.3395,226.56001,23.0,23.0,23.0,23.0,70.0,70.0,71.0,71.0,0.0,0.0,0.0,0.0,0.017607741,0.01905515,0.007113813,0.008562693,4.979781,16.216824,-4.349022,2.177552,-4188.0703,-3660.847,-203.33002,-207.98004,0.0,0.0,0.0,3.0,3.0,-2.5539806,0.020824358,0.03159952
7.3754883,7010.961,0.10158134,0.0,0.0,227.44626,10476.0,100.0,0.0,-0.79499483,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-329.23514,-7.382803,-736.0582,0.22158954,0.8672993,-0.13879752,229.72699,229.8448,227.43819,227.65546,23.0,23.0,23.0,23.0,70.0,70.0,71.0,71.0,0.0,0.0,0.0,0.0,0.01669758,0.018010492,0.0071302545,0.008489273,-22.023682,-29.892632,0.30050159,-1.5509927,347.40604,-111.59914,-17.041712,52.976604,0.0,0.0,0.0,3.0,3.0,-2.55269,0.02042024,0.03079617
10.999512,7014.585,0.15768373,0.0,0.0,229.22858,10548.0,100.0,0.0,-0.79499483,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-331.24692,-7.2998714,-739.07043,0.23142302,0.86815596,-0.003854828,231.31409,231.43416,229.2184,229.44691,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.017099345,0.01824513,0.007278392,0.008816153,17.30228,18.528505,5.700633,7.072758,663.2097,915.72144,248.22604,39.375423,0.0,0.0,0.0,3.0,3.0,-2.5506194,0.02004479,0.030623078
14.555176,7018.1406,0.21479474,0.0,0.0,230.90039,10622.0,100.0,0.0,-0.75837374,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-333.22714,-7.218067,-742.0223,0.23053291,0.8420604,0.027562527,232.95401,233.04303,230.8998,231.12012,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.017747449,0.019118804,0.00782808,0.009119768,3.3377628,9.235294,4.658012,2.75164,-444.5174,-436.68613,-350.9457,-218.11461,0.0,0.0,0.0,3.0,3.0,-2.5486045,0.019795025,0.030564785
17.838867,7021.4243,0.26668626,0.0,0.0,232.40388,10690.0,100.0,0.0,-0.7156491,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-335.06097,-7.1414223,-744.7447,0.22472297,0.8296102,-0.008170048,234.44217,234.54005,232.41016,232.62209,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.017962659,0.019346235,0.007841082,0.009213823,2.627652,2.1526687,-5.970403,0.69628084,-23.23907,-90.932945,-396.22766,0.41316587,0.0,0.0,0.0,3.0,3.0,-2.5468276,0.019691637,0.030620933
22.15625,7025.7417,0.33331403,0.0,0.0,234.32649,10778.0,100.0,0.0,-0.66987276,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-337.47922,-7.040844,-748.3195,0.21506004,0.81232995,-0.041910224,236.36845,236.47455,234.34515,234.54211,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.01812045,0.019097777,0.007854324,0.009311383,-1.8869686,0.16172418,3.326258,-1.6566936,-179.80345,393.19778,63.168636,-374.38492,0.0,0.0,0.0,3.0,3.0,-2.5446482,0.018963527,0.029900908
25.421875,7029.0073,0.3833216,0.0,0.0,235.74693,10841.0,100.0,0.0,-0.66987276,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-339.3138,-6.9653835,-751.0205,0.21099307,0.79912573,-0.010825339,237.74263,237.84592,235.77293,235.96391,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.018284343,0.019462798,0.00812288,0.0094151115,6.235307,4.108109,1.6826336,5.5835032,196.33218,-407.41788,-471.7704,178.09088,0.0,0.0,0.0,3.0,3.0,-2.5430949,0.018541094,0.029558778
25.421875,7029.0073,0.3833216,0.0,0.0,235.74693,10841.0,100.0,0.0,-0.66987276,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-339.3138,-6.9653835,-751.0205,0.21099307,0.79912573,-0.010825339,237.74263,237.84592,235.77293,235.96391,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.018284343,0.019462798,0.00812288,0.0094151115,6.235307,4.108109,1.6826336,5.5835032,196.33218,-407.41788,-471.7704,178.09088,0.0,0.0,0.0,3.0,3.0,-2.5430949,0.018541094,0.029558778
28.705078,7032.2905,0.43329424,0.0,0.0,237.14114,10904.0,100.0,0.0,-0.66987276,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-341.16245,-6.889726,-753.7328,0.20833339,0.78402245,-0.03292475,239.13681,239.21367,237.17293,237.3621,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.018589359,0.019659331,0.008207036,0.009405253,-1.9199824,7.6919985,2.2569458,-1.5304435,-751.0903,272.11447,6.56812,182.60765,0.0,0.0,0.0,3.0,3.0,-2.5415626,0.018457431,0.029412985
32.006836,7035.5923,0.48329565,0.0,0.0,238.51366,10965.0,100.0,0.0,-0.66987276,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-343.02606,-6.814177,-756.4579,0.20610388,0.7768238,-0.0013343208,240.46512,240.56723,238.54726,238.73581,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.018564485,0.019845612,0.0086085675,0.0095969625,11.397757,3.253354,7.072032,4.165322,716.53015,200.31175,-222.09706,5.032488,0.0,0.0,0.0,3.0,3.0,-2.5400412,0.018320126,0.029320002
32.006836,7035.5923,0.48329565,0.0,0.0,238.51366,10965.0,100.0,0.0,-0.66987276,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-343.02606,-6.814177,-756.4579,0.20610388,0.7768238,-0.0013343208,240.46512,240.56723,238.54726,238.73581,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.018564485,0.019845612,0.0086085675,0.0095969625,11.397757,3.253354,7.072032,4.165322,716.53015,200.31175,-222.09706,5.032488,0.0,0.0,0.0,3.0,3.0,-2.5400412,0.018320126,0.029320002
36.439453,7040.025,0.5499435,0.0,0.0,240.29784,11053.0,100.0,0.0,-0.6149411,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-345.5343,-6.71513,-760.1118,0.1962634,0.751169,-0.17923513,242.40813,242.49866,240.34496,240.52711,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.018142067,0.019397892,0.008043734,0.009164104,-20.134155,-24.787535,12.311367,8.142266,-128.03758,-341.2082,1329.6893,1131.2694,0.0,0.0,0.0,3.0,3.0,-2.5379963,0.018344527,0.02829218
